,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
3338,3338,200.0,191.0,9.0,200.0,191.0,9.0,0.0,200.0
3339,3339,80.0,76.0,4.0,80.0,76.0,4.0,0.0,80.0
3340,3340,163.0,152.0,11.0,134.0,126.0,8.0,1.0,135.0
3341,3341,524.0,509.0,15.0,520.0,505.0,15.0,0.0,520.0
3342,3342,19.0,16.0,3.0,8.0,8.0,0.0,0.0,8.0
3343,3343,73.0,65.0,8.0,3.0,1.0,2.0,0.0,3.0
3344,3344,137.0,131.0,6.0,55.0,53.0,2.0,0.0,55.0
3345,3345,8.0,6.0,2.0,8.0,6.0,2.0,0.0,8.0
3346,3346,7.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0
3347,3347,52.0,47.0,5.0,52.0,47.0,5.0,0.0,52.0
3348,3348,31.0,27.0,4.0,31.0,27.0,4.0,0.0,31.0
3349,3349,26.0,22.0,4.0,26.0,22.0,4.0,0.0,26.0
3350,3350,9.0,4.0,5.0,9.0,4.0,5.0,0.0,9.0
3351,3351,17.0,16.0,1.0,17.0,16.0,1.0,0.0,17.0
3352,3352,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3353,3353,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3354,3354,14.0,10.0,4.0,14.0,10.0,4.0,0.0,14.0
3355,3355,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3356,3356,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
3357,3357,4.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0
3358,3358,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0
3359,3359,11.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0
3360,3360,103.0,97.0,6.0,60.0,,,0.0,60.0
3361,3361,22.0,,,22.0,,,0.0,22.0
3362,3362,256.0,248.0,8.0,256.0,248.0,8.0,0.0,256.0
