,flight_id,causes,date,route_simple
179,179,Sin datos,1929-01-31,Off Morocco
180,180,Sin datos,1929-01-31,West Virginia
181,181,Sin datos,1929-03-17,New Jersey
182,182,Sin datos,1929-03-30,California
183,183,Sin datos,1929-04-21,California
184,184,Sin datos,1929-05-09,Mexico
185,185,Sin datos,1929-05-18, Pest Hungary
186,186,Sin datos,1929-05-22,Algiers
187,187,Sin datos,1929-06-13,Cuba
188,188,Sin datos,1929-06-14,Spain
189,189,Sin datos,1929-06-17,England
190,190,Sin datos,1929-06-24,Minnesota
191,191,Sin datos,1929-06-29,Germany
192,192,Sin datos,1929-06-29,Ohio
193,193,Sin datos,1929-08-11,New Mexico
194,194,Sin datos,1929-08-24,Russia
195,195,Sin datos,1929-08-24,Germany
196,196,Sin datos,1929-09-02,California
197,197,Tormenta eléctrica,1929-09-03,New Mexico
198,198,Sin datos,1929-09-06,Iran
199,199,Sin datos,1929-09-14,North Atlantic Ocean
200,200,Sin datos,1929-09-14,Ontario
201,201,Sin datos,1929-09-17,Connecticut
202,202,Sin datos,1929-09-17,Morocco
203,203,Sin datos,1929-09-17,California
204,204,Sin datos,1929-10-26,Italy
205,205,Sin datos,1929-10-29,Ohio
206,206,Sin datos,1929-10-31,Washington
207,207,Sin datos,1929-11-04,Mexico
208,208,Sin datos,1929-11-06,England
209,209,Sin datos,1929-11-16,France
210,210,Sin datos,1929-11-20,East Sardinia
211,211,Sin datos,1929-11-30,Washington
212,212,Sin datos,1929-12-02,Ohio
213,213,Sin datos,1929-12-19,Germany
214,214,Sin datos,1929-12-30,Texas
215,215,Sin datos,1930-01-10,Nebraska
216,216,Sin datos,1930-01-13,Madagascar
217,217,Sin datos,1930-01-19,California
218,218,Sin datos,1930-01-25,Spain
219,219,Sin datos,1930-01-27,Missouri
220,220,Sin datos,1930-02-03,Connecticut
221,221,Sin datos,1930-02-10,England
222,222,Sin datos,1930-04-18,New Jersey
223,223,Sin datos,1930-05-10,Argentina
224,224,Sin datos,1930-06-05,Massachusetts
225,225,Sin datos,1930-07-07,Denmark
226,226,Sin datos,1930-07-10,Texas
227,227,Sin datos,1930-07-21,England
228,228,Sin datos,1930-08-22,Czechoslovakia
229,229,Sin datos,1930-09-11,England
230,230,Sin datos,1930-09-25,Canada
231,231,Sin datos,1930-10-05,France
232,232,Sin datos,1930-10-06,Germany
233,233,Sin datos,1930-10-12,Morocco
234,234,Sin datos,1930-10-13,Australia
235,235,Sin datos,1930-10-28,Canada
236,236,Sin datos,1930-10-30,France
237,237,Sin datos,1930-10-30,Indiana
238,238,Sin datos,1930-11-07,Brazil
239,239,Sin datos,1930-11-18,California
240,240,Sin datos,1930-12-09,China
241,241,Sin datos,1931-01-08,Belgium
242,242,Sin datos,1931-01-22,Washington
243,243,Sin datos,1931-02-08,New Zealand
244,244,Sin datos,1931-02-20,Canada
245,245,Sin datos,1931-02-24,Off Spain
246,246,Sin datos,1931-03-21,Australia
247,247,Fallas en el diseño,1931-03-31,Kansas
248,248,Sin datos,1931-04-14,Germany
249,249,Sin datos,1931-05-05,California
250,250,Sin datos,1931-05-22,Australia
251,251,Sin datos,1931-05-24,Pennsylvania
252,252,Sin datos,1931-06-07,Burma
253,253,Sin datos,1931-06-11,Ohio
254,254,Sin datos,1931-06-13,Germany
255,255,Sin datos,1931-07-12,Illinois
256,256,Sin datos,1931-07-14,Australia
257,257,Sin datos,1931-07-21,Illinois
258,258,Sin datos,1931-07-24,Bulgaria
259,259,Sin datos,1931-08-09,Ohio
260,260,Sin datos,1931-09-14,Illinois
261,261,Sin datos,1931-09-15,Romania
262,262,Sin datos,1931-09-16,California
263,263,Sin datos,1931-10-06,Canada
264,264,Sin datos,1931-10-14,Brazil
265,265,Sin datos,1931-11-05,New Jersey
266,266,Sin datos,1931-11-13,South Africa
267,267,Sin datos,1931-11-23,Utah
268,268,Sin datos,1931-11-24,China
269,269,Sin datos,1931-11-26,Washington
270,270,Sin datos,1931-12-05,Illinois
271,271,Sin datos,1931-12-06,Thailand
272,272,Sin datos,1931-12-09,Off Algiers
273,273,Sin datos,1931-12-31,Ohio
274,274,Sin datos,1932-01-21,Ilinois
275,275,Sin datos,1932-01-29,California
276,276,Sin datos,1932-02-01,Florida
277,277,Sin datos,1932-02-02,California
278,278,Sin datos,1932-02-02,Michigan
279,279,Sin datos,1932-02-27,Brazil
280,280,Sin datos,1932-03-08,Illinois
281,281,Sin datos,1932-03-19,California
282,282,Sin datos,1932-03-21,Ohio
283,283,Sin datos,1932-03-29,Iraq
284,284,Sin datos,1932-03-31,Ohio
285,285,Sin datos,1932-04-21,Indiana
286,286,Sin datos,1932-05-16,California
287,287,Sin datos,1932-05-30,Oregon
288,288,Sin datos,1932-07-16,Chile
289,289,Sin datos,1932-08-12,Lebanon
290,290,Sin datos,1932-08-31,Germany
291,291,Sin datos,1932-09-08,Texas
292,292,Sin datos,1932-09-17,England
293,293,Sin datos,1932-09-18,Australia
294,294,Sin datos,1932-10-12,Mauritania
295,295,Sin datos,1932-10-26,Bolivia
296,296,Sin datos,1932-10-29,England
297,297,Sin datos,1932-11-02,Germany
298,298,Sin datos,1932-11-25,Arkansas
299,299,Sin datos,1932-12-14,Texas
