,flight_id,aircraft_type,helicopter,manufacter
4233,4233,Arava 201,False,Arava
4234,4234,Gates Learjet 35,False,Gates
4235,4235,Boeing B-767-366ER,False,Boeing
4236,4236,McDonnell Douglas DC-9-31,False,McDonnell
4237,4237,Aerospatiale Alenia ATR-42,False,Aerospatiale
4238,4238,Ilyushin 114T,False,Ilyushin
4239,4239,Let 410UVP,False,Let
4240,4240,Lockheed C-130H,False,Lockheed
4241,4241,British Aerospace APT,False,British
4242,4242,McDonnell Douglas DC-10-30,False,McDonnell
4243,4243,Boeing 747-2B5F,False,Boeing
4244,4244,Airbus A300B2-101,False,Airbus
4245,4245,Yakovlev YAK-42D,False,Yakovlev
4246,4246,de Havilland Canada DHC-6 Twin Otter,False,de
4247,4247,Antonov 28,False,Antonov
4248,4248,Embraer 110P1A Bandeirante,False,Embraer
4249,4249,Saab 340B,False,Saab
4250,4250,Shorts 360-300,False,Shorts
4251,4251,Let 410UVP-E,False,Let
4252,4252,AirbusA310-304,False,AirbusA310-304
4253,4253,McDonnell Douglas MD-83,False,McDonnell
4254,4254,Lockheed C-130 Hercules,False,Lockheed
4255,4255,McDonnell Douglas DC-8-71F,False,McDonnell
4256,4256,Boeing B-737-3T5,False,Boeing
4257,4257,Yakovlev YAK-40,False,Yakovlev
4258,4258,de Havilland Canada DHC-6 Twin Otter 300,False,de
4259,4259,Douglas C-47A-5-DK,False,Douglas
4260,4260,CASA 212-DE Aviocar 200,False,CASA
4261,4261,Antonov AN-12 (freighter),False,Antonov
4262,4262,Antonov AN-32,False,Antonov
4263,4263,Antonov An-26,False,Antonov
4264,4264,Learjet 35A,False,Learjet
4265,4265,Boeing B-737-2H4,False,Boeing
4266,4266,Antonov AN-8,False,Antonov
4267,4267,Britten-Norman BN-2A-20 Islander,False,Britten-Norman
4268,4268,Learjet 35A,False,Learjet
4269,4269,Britten-Norman BN-2A-9 Islander,False,Britten-Norman
4270,4270,Rockwell Sabreliner 65,False,Rockwell
4271,4271,Beechcraft 1900C-1,False,Beechcraft
4272,4272,BAe Jetstream 3101-31,False,BAe
4273,4273,Airbus A.330-301,False,Airbus
4274,4274,Piper PA-31-350 Navajo,False,Piper
4275,4275,Fokker F-27 Friendship 600,False,Fokker
4276,4276,Xian Yunshuji Y-7-100C,False,Xian
4277,4277,Learjet 55,False,Learjet
4278,4278,Kawasaki C-1A,False,Kawasaki
4279,4279,GAF Nomad N-22C,False,GAF
4280,4280,British Aerospace  BAe Jetstream 32EP,False,British
4281,4281,Curtiss C-46A-60-CS,False,Curtiss
4282,4282,de Havilland Canada DHC-6 Twin Otter 200,False,de
4283,4283,Boeing B-737-2A8 Advanced,False,Boeing
4284,4284,Grumman G-159 Gulfstream I,False,Grumman
4285,4285,Douglas C-47A-10-DK,False,Douglas
4286,4286,Aerospatiale AS355-F1,False,Aerospatiale
4287,4287,Aerospatiale BAe Concorde 101,False,Aerospatiale
4288,4288,Lockheed C-130H Hercules,False,Lockheed
4289,4289,de Havilland Canada DHC-6 Twin Otter 300,False,de
4290,4290,Sikorsky S-76,False,Sikorsky
4291,4291,Casa 212-AB10 Aviocar,False,Casa
4292,4292,Piper Navajo PA-31/ Piper Seminole PA-44,False,Piper
4293,4293,Antonov AN-26B,False,Antonov
4294,4294,Airbus A320-212,False,Airbus
4295,4295,Douglas C-47,False,Douglas
4296,4296,Beechcraft SKA 200,False,Beechcraft
4297,4297,Mil Mi-17,False,Mil
4298,4298,McDonnell Douglas DC-9-31,False,McDonnell
4299,4299,Shorts SC.7 Skyvan 3-100,False,Shorts
4300,4300,Canadair CL-600-2B16 Challenger 604,False,Canadair
4301,4301,Cessna 335,False,Cessna
4302,4302,Harbin Yunshuji Y-12-II,False,Harbin
4303,4303,Ilyushin IL-18D,False,Ilyushin
