Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,19.750000,19.750000,18.750000,18.750000,18.750000,1104
2020-03-09,17.500000,18.500000,16.750000,18.250000,18.250000,2252
2020-03-10,19.500000,19.750000,18.000000,18.250000,18.250000,116
2020-03-11,18.250000,18.250000,16.750000,16.750000,16.750000,1528
2020-03-12,14.500000,16.250000,14.250000,14.500000,14.500000,2056
2020-03-13,14.750000,17.250000,14.500000,17.250000,17.250000,1032
2020-03-16,17.500000,17.500000,12.000000,14.250000,14.250000,592
2020-03-17,14.500000,15.000000,13.500000,13.750000,13.750000,1652
2020-03-18,12.250000,13.000000,12.250000,12.750000,12.750000,4052
2020-03-19,15.500000,15.500000,13.750000,14.500000,14.500000,3240
2020-03-20,15.500000,15.500000,13.500000,13.500000,13.500000,1336
2020-03-23,13.000000,14.750000,11.000000,11.000000,11.000000,16772
2020-03-24,11.750000,12.500000,11.500000,11.750000,11.750000,860
2020-03-25,13.750000,14.500000,12.500000,13.500000,13.500000,2204
2020-03-26,13.750000,15.750000,13.750000,14.750000,14.750000,2180
2020-03-27,14.000000,15.250000,13.000000,13.750000,13.750000,2860
2020-03-30,13.750000,13.750000,13.000000,13.250000,13.250000,784
2020-03-31,14.000000,14.000000,12.250000,12.750000,12.750000,3756
2020-04-01,12.750000,12.750000,11.750000,12.000000,12.000000,1120
2020-04-02,12.500000,12.500000,11.750000,11.750000,11.750000,220
2020-04-03,12.250000,12.250000,10.750000,11.000000,11.000000,1732
2020-04-06,11.250000,12.750000,11.000000,12.000000,12.000000,8488
2020-04-07,12.500000,12.750000,12.000000,12.000000,12.000000,1072
2020-04-08,12.250000,12.500000,12.250000,12.500000,12.500000,128
2020-04-09,12.500000,12.500000,12.250000,12.500000,12.500000,944
2020-04-13,12.500000,12.500000,11.750000,12.000000,12.000000,1120
2020-04-14,12.500000,12.500000,12.000000,12.000000,12.000000,752
2020-04-15,12.250000,12.250000,11.000000,11.750000,11.750000,4648
2020-04-16,11.750000,11.750000,10.750000,11.250000,11.250000,1800
2020-04-17,11.750000,12.000000,10.750000,11.500000,11.500000,7316
2020-04-20,11.250000,11.250000,10.500000,11.000000,11.000000,648
2020-04-21,10.750000,10.750000,10.500000,10.750000,10.750000,1620
2020-04-22,11.250000,11.250000,10.750000,10.750000,10.750000,1464
2020-04-23,11.000000,11.000000,10.500000,10.750000,10.750000,1300
2020-04-24,10.750000,11.000000,10.750000,11.000000,11.000000,208
2020-04-27,11.250000,11.250000,10.500000,11.000000,11.000000,2208
2020-04-28,11.000000,11.250000,10.750000,11.000000,11.000000,276
2020-04-29,11.000000,12.250000,11.000000,12.250000,12.250000,3052
2020-04-30,13.500000,14.000000,12.500000,13.000000,13.000000,8200
2020-05-01,13.250000,13.250000,12.250000,12.500000,12.500000,1068
2020-05-04,12.500000,12.500000,12.250000,12.500000,12.500000,188
2020-05-05,12.500000,13.000000,12.500000,12.750000,12.750000,256
2020-05-06,13.250000,14.000000,13.250000,13.250000,13.250000,3992
2020-05-07,13.250000,13.250000,12.250000,12.250000,12.250000,1444
2020-05-08,12.000000,12.250000,11.750000,12.250000,12.250000,964
2020-05-11,12.250000,12.750000,11.750000,12.500000,12.500000,476
2020-05-12,13.750000,13.750000,12.250000,12.250000,12.250000,840
2020-05-13,12.000000,12.000000,11.500000,11.750000,11.750000,2040
2020-05-14,11.750000,12.250000,11.500000,12.250000,12.250000,584
2020-05-15,12.000000,12.500000,12.000000,12.500000,12.500000,308
2020-05-18,13.000000,13.000000,11.500000,11.500000,11.500000,72
2020-05-19,13.000000,13.750000,12.750000,13.500000,13.500000,1748
2020-05-20,13.500000,14.000000,13.500000,13.750000,13.750000,1064
2020-05-21,14.000000,14.000000,13.500000,13.750000,13.750000,560
2020-05-22,13.250000,13.250000,13.250000,13.250000,13.250000,48
2020-05-26,13.500000,13.500000,13.000000,13.250000,13.250000,136
2020-05-27,13.250000,13.500000,13.000000,13.000000,13.000000,800
2020-05-28,12.750000,13.250000,12.500000,13.000000,13.000000,1704
2020-05-29,13.000000,13.000000,12.500000,12.500000,12.500000,552
2020-06-01,13.000000,13.000000,12.500000,12.750000,12.750000,512
2020-06-02,12.250000,13.000000,12.250000,12.750000,12.750000,468
2020-06-03,12.750000,13.000000,12.500000,12.750000,12.750000,1504
2020-06-04,12.750000,13.000000,12.500000,12.500000,12.500000,1120
2020-06-05,13.000000,13.000000,12.500000,12.750000,12.750000,2780
2020-06-08,13.000000,13.250000,12.750000,13.000000,13.000000,6752
2020-06-09,13.500000,14.500000,13.500000,14.000000,14.000000,5876
2020-06-10,14.250000,14.500000,13.500000,14.000000,14.000000,4328
2020-06-11,13.500000,13.500000,12.500000,12.750000,12.750000,3908
2020-06-12,13.750000,13.750000,12.500000,13.000000,13.000000,1036
2020-06-15,12.750000,12.750000,12.250000,12.250000,12.250000,2472
2020-06-16,12.250000,12.500000,12.250000,12.250000,12.250000,496
2020-06-17,12.750000,12.750000,12.250000,12.500000,12.500000,1668
2020-06-18,12.250000,12.500000,12.250000,12.500000,12.500000,240
2020-06-19,11.500000,12.250000,11.500000,12.000000,12.000000,708
2020-06-22,12.000000,12.250000,11.750000,12.000000,12.000000,3352
2020-06-23,12.000000,12.000000,12.000000,12.000000,12.000000,784
2020-06-24,11.750000,12.500000,11.750000,12.500000,12.500000,8472
2020-06-25,11.500000,12.250000,11.500000,12.000000,12.000000,1232
2020-06-26,12.000000,12.000000,12.000000,12.000000,12.000000,52
2020-06-29,11.750000,12.000000,11.500000,11.750000,11.750000,1128
2020-06-30,11.750000,12.250000,11.500000,12.000000,12.000000,140
2020-07-01,11.000000,14.000000,11.000000,13.000000,13.000000,3260
2020-07-02,13.000000,13.000000,12.000000,12.500000,12.500000,4716
2020-07-06,12.000000,12.500000,12.000000,12.250000,12.250000,492
2020-07-07,11.500000,12.250000,11.500000,12.250000,12.250000,464
2020-07-08,12.000000,12.000000,11.750000,11.750000,11.750000,184
2020-07-09,12.750000,12.750000,11.250000,11.750000,11.750000,2168
2020-07-10,12.000000,12.000000,11.500000,11.750000,11.750000,668
2020-07-13,11.500000,11.750000,11.500000,11.500000,11.500000,304
2020-07-14,11.500000,12.000000,11.500000,12.000000,12.000000,2584
2020-07-15,11.500000,12.000000,11.500000,12.000000,12.000000,2052
2020-07-16,11.750000,11.750000,11.750000,11.750000,11.750000,140
2020-07-17,11.750000,12.000000,11.750000,12.000000,12.000000,136
2020-07-20,11.000000,12.000000,11.000000,11.750000,11.750000,1484
2020-07-21,11.500000,12.250000,11.500000,12.250000,12.250000,3572
2020-07-22,12.250000,12.750000,12.000000,12.500000,12.500000,1148
2020-07-23,13.000000,13.000000,12.000000,12.000000,12.000000,2720
2020-07-24,11.750000,12.000000,11.750000,12.000000,12.000000,880
2020-07-27,11.500000,12.000000,11.250000,11.750000,11.750000,444
2020-07-28,12.000000,12.250000,11.750000,12.000000,12.000000,2768
2020-07-29,12.000000,12.000000,11.500000,12.000000,12.000000,888
2020-07-30,11.750000,12.000000,11.500000,11.500000,11.500000,2384
2020-07-31,11.500000,12.000000,11.500000,12.000000,12.000000,2688
2020-08-03,12.250000,13.500000,11.500000,13.500000,13.500000,1524
2020-08-04,12.250000,12.250000,11.500000,11.750000,11.750000,2908
2020-08-05,12.000000,12.000000,11.500000,11.750000,11.750000,1888
2020-08-06,11.500000,11.750000,11.500000,11.500000,11.500000,372
2020-08-07,11.500000,11.500000,11.500000,11.500000,11.500000,104
2020-08-10,11.750000,11.750000,11.250000,11.750000,11.750000,1968
2020-08-11,11.750000,12.000000,11.500000,12.000000,12.000000,2468
